year_film,year_ceremony,ceremony,category,canon_category,name,film,winner,mapped_Category.
1931,1932,5,SHORT SUBJECT (Cartoon),SHORT FILM (Animated),Walt Disney,Flowers and Trees,TRUE,Other
1931,1932,5,SHORT SUBJECT (Cartoon),SHORT FILM (Animated),Leon Schlesinger,It's Got Me Again,FALSE,Other
1931,1932,5,SHORT SUBJECT (Cartoon),SHORT FILM (Animated),Walt Disney,Mickey's Orphans,FALSE,Other
1931,1932,5,SHORT SUBJECT (Comedy),SHORT SUBJECT (Comedy),Mack Sennett,The Loud Mouth,FALSE,Other
1931,1932,5,SHORT SUBJECT (Comedy),SHORT SUBJECT (Comedy),Hal Roach,The Music Box,TRUE,Other
1931,1932,5,SHORT SUBJECT (Comedy),SHORT SUBJECT (Comedy),RKO Radio,Scratch-As-Catch-Can,FALSE,Other
1931,1932,5,SHORT SUBJECT (Comedy),SHORT SUBJECT (Comedy),RKO Radio,Stout Hearts and Willing Hands,FALSE,Other
1931,1932,5,SHORT SUBJECT (Novelty),SHORT SUBJECT (Novelty),Paramount Publix,Screen Souvenirs,FALSE,Other
1931,1932,5,SHORT SUBJECT (Novelty),SHORT SUBJECT (Novelty),Metro-Goldwyn-Mayer,Swing High,FALSE,Other
1931,1932,5,SHORT SUBJECT (Novelty),SHORT SUBJECT (Novelty),Mack Sennett,Wrestling Swordfish,TRUE,Other
1931,1932,5,SOUND RECORDING,SOUND RECORDING,Metro-Goldwyn-Mayer,,FALSE,Other
1931,1932,5,SOUND RECORDING,SOUND RECORDING,Paramount Publix,,TRUE,Other
1931,1932,5,SOUND RECORDING,SOUND RECORDING,RKO Radio,,FALSE,Other
1931,1932,5,SOUND RECORDING,SOUND RECORDING,Warner Bros./First National,,FALSE,Other
1931,1932,5,WRITING (Adaptation),WRITING (Adapted Screenplay),Sidney Howard,Arrowsmith,FALSE,Writing (Adapted Screenplay)
1931,1932,5,WRITING (Adaptation),WRITING (Adapted Screenplay),Edwin Burke,Bad Girl,TRUE,Writing (Adapted Screenplay)
1931,1932,5,WRITING (Adaptation),WRITING (Adapted Screenplay),Percy Heath/Samuel Hoffenstein,Dr. Jekyll and Mr. Hyde,FALSE,Writing (Adapted Screenplay)
1931,1932,5,WRITING (Original Story),WRITING (Original Story),Frances Marion,The Champ,TRUE,Other
1931,1932,5,WRITING (Original Story),WRITING (Original Story),Grover Jones/William Slavens McNutt,Lady and Gent,FALSE,Other
1931,1932,5,WRITING (Original Story),WRITING (Original Story),Lucien Hubbard,The Star Witness,FALSE,Other
1931,1932,5,WRITING (Original Story),WRITING (Original Story),Adela Rogers St. Johns/Jane Murfin,What Price Hollywood?,FALSE,Other
1931,1932,5,SPECIAL AWARD,SPECIAL AWARD,Walt Disney,,TRUE,Other
1932,1933,6,ACTOR,ACTOR IN A LEADING ROLE,Leslie Howard,Berkeley Square,FALSE,Actor in a Leading Role
1932,1933,6,ACTOR,ACTOR IN A LEADING ROLE,Charles Laughton,The Private Life of Henry VIII,TRUE,Actor in a Leading Role
1932,1933,6,ACTOR,ACTOR IN A LEADING ROLE,Paul Muni,I Am a Fugitive from a Chain Gang,FALSE,Actor in a Leading Role
1932,1933,6,ACTRESS,ACTRESS IN A LEADING ROLE,Katharine Hepburn,Morning Glory,TRUE,Actress in a Leading Role
